time,x,y
17.8,-1.429095628,0.820601065
17.85,-1.719776284,1.105334543
17.9,-1.942915231,1.390706208
17.95,-2.092014511,1.661635093
18,-2.164622244,1.903276308
18.05,-2.162333291,2.101956474
18.1,-2.090550449,2.246050545
18.15,-1.95802419,2.326744469
18.2,-1.776202418,2.33863496
18.25,-1.558433168,2.280127561
18.3,-1.319071833,2.153606452
18.35,-1.072550013,1.965363531
18.4,-0.832464901,1.725289101
18.45,-0.610746314,1.446341249
18.5,-0.416953082,1.143824727
18.55,-0.25774191,0.83452201
18.6,-0.136540548,0.535728466
18.65,-0.053443893,0.26424963
18.7,-0.005337289,0.035421111
18.75,0.013763267,-0.13778955
18.8,0.012178161,-0.24554462
18.85,-0.000125104,-0.281715253
18.9,-0.01233106,-0.244242726
18.95,-0.013631926,-0.135259849
19,0.005917267,0.039034815
19.05,0.054601016,0.268742285
19.1,0.138356481,0.540845834
19.15,0.26024366,0.83997558
19.2,0.420108865,1.149308582
19.25,0.614465407,1.45154986
19.3,0.83660154,1.72993497
19.35,1.076911119,1.969193629
19.4,1.323428119,2.156416463
19.45,1.562532949,2.281773075
19.5,1.779787272,2.339038971
19.55,1.960845491,2.325900743
19.6,2.09238574,2.24402269
19.65,2.163001434,2.098872797
19.7,2.163996401,1.89932083
19.75,2.090032087,1.657035286
19.8,1.93958412,1.385718259
19.85,1.71517698,1.100227083
19.9,1.423379006,0.815638373
19.95,1.07455465,0.546313379
20,0.682385828,0.305023128
20.05,0.263188477,0.102187784
20.1,-0.164936794,-0.054722793
20.15,-0.583070685,-0.161590695
20.2,-0.972501122,-0.217829859
20.25,-1.315748432,-0.22633435
20.3,-1.597528844,-0.193199902
20.35,-1.805598836,-0.127237926
20.4,-1.931429859,-0.039314368
20.45,-1.970673028,0.058443149
20.5,-1.923385973,0.153518133
20.55,-1.794008307,0.233901126
20.6,-1.591087288,0.288950425
20.65,-1.326770306,0.310161527
20.7,-1.016094801,0.291794982
20.75,-0.676118378,0.231321287
20.8,-0.324941406,0.12965303
20.85,0.01931935,-0.008852025
20.9,0.339544719,-0.17661867
20.95,0.620554514,-0.363299877
21,0.84992073,-0.556413453
21.05,1.018605125,-0.742130597
21.1,1.121384697,-0.906167364
21.15,1.157041775,-1.034723221
21.2,1.12830998,-1.115407538
21.25,1.041582354,-1.138095187
21.3,0.906402527,-1.095656476
21.35,0.73477301,-0.984514071
21.4,0.54032575,-0.804990044
21.45,0.337408281,-0.561418945
21.5,0.140143644,-0.262017148
21.55,-0.03847655,0.081486275
21.6,-0.187409062,0.454437152
21.65,-0.29823515,0.840028735
21.7,-0.365654304,1.220214029
21.75,-0.387765768,1.576704036
21.8,-0.366121658,1.891992487
21.85,-0.305550089,2.15034575
21.9,-0.213761346,2.338698512
21.95,-0.100763954,2.44740131
22,0.021870449,2.470774861
22.05,0.141844939,2.407437742
22.1,0.247022809,2.26038759
22.15,0.326302744,2.036830951
22.2,0.370426266,1.747772008
22.25,0.372664381,1.407385031
22.3,0.329337997,1.032208384
22.35,0.240137211,0.640208636
22.4,0.108217378,0.249771027
22.45,-0.059935968,-0.121323188
22.5,-0.254866529,-0.456871443
22.55,-0.464709798,-0.743118764
22.6,-0.675924544,-0.9694697
22.65,-0.874148031,-1.129002007
22.7,-1.045121641,-1.218753129
22.75,-1.17562873,-1.239764613
22.8,-1.254385341,-1.196884524
22.85,-1.272826906,-1.098342839
22.9,-1.225740152,-0.95512862
22.95,-1.111698677,-0.780209885
23,-0.933272584,-0.587646489
23.05,-0.696996359,-0.391652658
23.1,-0.413094001,-0.205668525
23.15,-0.094975404,-0.041499072
23.2,0.241467848,0.091425748
23.25,0.578726638,0.186623896
23.3,0.898647729,0.240932093
23.35,1.18345882,0.254652584
